V1,Country,HDI,CPI,Region
1,Afghanistan,0.398,1.5,Asia Pacific
2,Albania,0.739,3.1,East EU Cemt Asia
3,Algeria,0.698,2.9,MENA
4,Angola,0.486,2,SSA
5,Argentina,0.797,3,Americas
6,Armenia,0.716,2.6,East EU Cemt Asia
7,Australia,0.929,8.8,Asia Pacific
8,Austria,0.885,7.8,EU W. Europe
9,Azerbaijan,0.7,2.4,East EU Cemt Asia
10,Bahamas,0.771,7.3,Americas
11,Bahrain,0.806,5.1,MENA
12,Bangladesh,0.5,2.7,Asia Pacific
13,Barbados,0.793,7.8,Americas
14,Belarus,0.756,2.4,East EU Cemt Asia
15,Belgium,0.886,7.5,EU W. Europe
16,Benin,0.427,3,SSA
17,Bhutan,0.522,5.7,Asia Pacific
18,Bolivia,0.663,2.8,Americas
19,Bosnia and Herzegovina,0.733,3.2,East EU Cemt Asia
20,Botswana,0.633,6.1,SSA
21,Brazil,0.718,3.8,Americas
22,Britain,0.863,7.8,EU W. Europe
23,Bulgaria,0.771,3.3,EU W. Europe
24,Burkina Faso,0.331,3,SSA
25,Burundi,0.316,1.9,SSA
26,Cambodia,0.523,2.1,Asia Pacific
27,Cameroon,0.482,2.5,SSA
28,Canada,0.908,8.7,Americas
29,Cape Verde,0.568,5.5,SSA
30,Central African Republic,0.343,2.2,SSA
31,Chad,0.328,2,SSA
32,Chile,0.805,7.2,Americas
33,China,0.687,3.6,Asia Pacific
34,Colombia,0.71,3.4,Americas
35,Comoros,0.433,2.4,SSA
36,Congo,0.286,2,SSA
37,Congo  Republic,0.533,2.2,SSA
38,Costa Rica,0.744,4.8,Americas
39,Côte d'Ivoire,0.4,2.2,SSA
40,Croatia,0.796,4,East EU Cemt Asia
41,Cuba,0.776,4.2,Americas
42,Cyprus,0.84,6.3,EU W. Europe
43,Czech Republic,0.865,4.4,EU W. Europe
44,Denmark,0.895,9.4,EU W. Europe
45,Djibouti,0.43,3,SSA
46,Dominica,0.724,5.2,Americas
47,Dominican Republic,0.689,2.6,Americas
48,Ecuador,0.72,2.7,Americas
49,Egypt,0.644,2.9,MENA
50,El Salvador,0.674,3.4,Americas
