date,hour,icon,summary,temperature,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,visibility,windBearing
2017-07-22,0,partly-cloudy-night,Partly Cloudy,23.7,23.7,0.31,5.93,0.32,0,0,1009.52,16.09,258
2017-07-22,1,partly-cloudy-night,Partly Cloudy,21.28,21.28,0.31,5.38,0.35,0,0,1010.23,16.09,319
2017-07-22,2,partly-cloudy-night,Partly Cloudy,19.78,19.78,0.31,5.63,0.4,0,0,1010.73,15.59,328
2017-07-22,3,clear-night,Clear,18.49,18.49,0,5.78,0.43,0,0,1011.21,15.85,353
2017-07-22,4,clear-night,Clear,17.65,17.65,,5.91,0.46,0,0,1011.88,16.09,331
2017-07-22,5,partly-cloudy-night,Partly Cloudy,16.64,16.64,0.31,6.14,0.5,0,0,1012.11,15.47,13
2017-07-22,6,partly-cloudy-night,Mostly Cloudy,16.39,16.39,0.75,5.79,0.5,0,0,1012.75,14.55,5
2017-07-22,7,partly-cloudy-night,Partly Cloudy,17.27,17.27,0.31,5.6,0.46,0,0,1013.31,14.16,311
2017-07-22,8,partly-cloudy-day,Partly Cloudy,18.48,18.48,0.31,5.92,0.44,0,0,1013.17,15.74,25
2017-07-22,9,partly-cloudy-day,Partly Cloudy,21.84,21.84,0.31,6.57,0.37,0,0,1013.42,14.16,224
2017-07-22,10,partly-cloudy-day,Partly Cloudy,23.78,23.78,0.31,6.71,0.33,0,0,1013.06,14.16,177
2017-07-22,11,clear-day,Clear,25.47,25.47,0.19,6.31,0.29,0,0,1012.54,15.58,219
2017-07-22,12,clear-day,Clear,27.06,27.06,0,6.16,0.26,0,0,1012.1,16.09,199
2017-07-22,13,clear-day,Clear,28.63,28.63,0,5.08,0.22,0,0,1011.52,16.09,213
2017-07-22,14,partly-cloudy-day,Partly Cloudy,29.12,29.12,0.27,4.26,0.21,0,0,1011.15,15.32,230
2017-07-22,15,clear-day,Clear,30.53,30.53,0,3.95,0.19,0,0,1010.5,15.11,228
2017-07-22,16,partly-cloudy-day,Partly Cloudy,31.22,31.22,0.31,3.27,0.17,0,0,1010.09,15.11,224
2017-07-22,17,partly-cloudy-day,Partly Cloudy,31.51,31.51,0.31,3.15,0.17,0,0,1009.93,15.02,247
2017-07-22,18,partly-cloudy-day,Partly Cloudy,31.44,31.44,0.31,3.49,0.17,0,0,1009.63,15.11,221
2017-07-22,19,partly-cloudy-day,Partly Cloudy,31.01,31.01,0.31,2.94,0.17,0,0,1009.72,16.09,248
2017-07-22,20,clear-day,Clear,30.72,30.72,0.17,3.11,0.17,0,0,1009.88,16.05,237
2017-07-22,21,partly-cloudy-day,Partly Cloudy,28.27,28.27,0.31,3.24,0.2,0,0,1010.63,16.09,247
2017-07-22,22,partly-cloudy-night,Partly Cloudy,26.68,26.68,0.31,3.77,0.23,0,0,1011.62,16.09,251
2017-07-22,23,clear-night,Clear,24.89,24.89,0,4.03,0.26,0,0,1012.72,16.09,278
2017-02-27,0,partly-cloudy-night,Partly Cloudy,7.11,6.43,0.31,4.95,0.86,0,0,1020.44,11.28,198
2017-02-27,1,partly-cloudy-night,Partly Cloudy,6.55,6.55,0.31,4.94,0.89,0,0,1020.49,11.2,222
2017-02-27,2,partly-cloudy-night,Mostly Cloudy,6.67,6.67,0.75,5.18,0.9,0,0,1020.19,10.94,179
2017-02-27,3,partly-cloudy-night,Mostly Cloudy,6.73,5.46,0.75,5.18,0.9,0,0,1019.82,10.24,206
2017-02-27,4,cloudy,Overcast,6.72,4.91,1,5.19,0.9,0,0,1019.04,10.24,220
2017-02-27,5,partly-cloudy-night,Mostly Cloudy,6.69,4.71,0.75,5.34,0.91,0,0,1018.78,10.49,229
2017-02-27,6,cloudy,Overcast,6.97,4.57,1,5.71,0.92,0,0,1018.78,10.15,233
2017-02-27,7,cloudy,Overcast,7.04,5.32,0.96,5.81,0.92,0,0,1018.9,9.46,243
2017-02-27,8,cloudy,Overcast,6.89,5.27,1,5.76,0.92,0,0,1018.7,8.51,253
2017-02-27,9,cloudy,Overcast,7.05,4.83,1,6.02,0.93,0,0,1019.3,8.5,250
2017-02-27,10,partly-cloudy-day,Mostly Cloudy,7.54,5.15,0.81,5.59,0.87,0,0,1019.38,9.35,246
2017-02-27,11,partly-cloudy-day,Mostly Cloudy,8.82,6.84,0.75,5.62,0.8,0,0,1019.3,9.98,248
2017-02-27,12,partly-cloudy-day,Mostly Cloudy,10.18,10.18,0.75,4.75,0.69,0,0,1018.58,11.02,240
2017-02-27,13,partly-cloudy-day,Partly Cloudy,11.61,11.61,0.54,4.34,0.61,0,0,1017.53,11.07,223
2017-02-27,14,partly-cloudy-day,Partly Cloudy,12.06,12.06,0.31,3.95,0.58,0,0,1016.23,11.15,222
2017-02-27,15,partly-cloudy-day,Partly Cloudy,12.04,12.04,0.31,3.78,0.57,0,0,1015.36,11.1,223
2017-02-27,16,partly-cloudy-day,Partly Cloudy,11.96,11.96,0.42,3.78,0.57,0,0,1015.17,12.26,233
2017-02-27,17,partly-cloudy-day,Partly Cloudy,12.02,12.02,0.31,4.03,0.58,0,0,1014.65,12.07,239
2017-02-27,18,partly-cloudy-day,Partly Cloudy,11.46,11.46,0.31,4.42,0.62,0,0,1014.6,11.93,246
2017-02-27,19,partly-cloudy-day,Partly Cloudy,10.34,10.34,0.36,4.41,0.67,0,0,1015.13,13.74,244
2017-02-27,20,clear-night,Clear,9.32,6.73,0,4.52,0.72,0,0,1015.14,12.71,236
2017-02-27,21,partly-cloudy-night,Partly Cloudy,8.89,5.89,0.31,4.44,0.74,0,0,1015.38,15.13,235
2017-02-27,22,partly-cloudy-night,Partly Cloudy,8.63,5.6,0.39,4.54,0.76,0,0,1015.64,12.71,238
2017-02-27,23,partly-cloudy-night,Partly Cloudy,8.19,4.97,0.31,4.65,0.78,0,0,1015.53,15.5,244
2017-06-13,0,clear-night,Clear,27.58,27.58,0,8.09,0.29,0,0,1010.42,16.09,138
2017-06-13,1,clear-night,Clear,25.93,25.93,0,9.07,0.35,0,0,1010.99,16.09,138
2017-06-13,2,clear-night,Clear,24.73,24.73,0.06,9.48,0.38,0,0,1011.48,16.09,122
2017-06-13,3,clear-night,Clear,23.61,23.61,0,9.47,0.41,0,0,1011.95,16.09,132
2017-06-13,4,clear-night,Clear,22.63,22.63,0,8.72,0.41,0,0,1012.05,14.32,124
2017-06-13,5,clear-night,Clear,21.76,21.76,0.02,8.89,0.44,0,0,1012.23,16.09,99
2017-06-13,6,clear-night,Clear,20.74,20.74,0,8.83,0.46,0,0,1012.29,15.74,115
2017-06-13,7,clear-day,Clear,20.79,20.79,0,8.71,0.46,0,0,1012.5,15.88,59
2017-06-13,8,clear-day,Clear,22.39,22.39,0.24,8.61,0.41,0,0,1012.25,15.95,70
2017-06-13,9,clear-day,Clear,24.94,24.94,0,8.39,0.35,0,0,1011.78,16.09,83
2017-06-13,10,clear-day,Clear,26.28,26.28,0,8.18,0.32,0,0,1011.35,16.09,123
2017-06-13,11,partly-cloudy-day,Partly Cloudy,27.56,27.56,0.31,8.19,0.3,0,0,1010.75,16.01,108
2017-06-13,12,partly-cloudy-day,Partly Cloudy,29.41,29.41,0.31,8.62,0.27,0,0,1010.05,16.09,164
2017-06-13,13,clear-day,Clear,31.29,31.29,0,8.82,0.25,0,0,1009.78,16.09,181
2017-06-13,14,partly-cloudy-day,Partly Cloudy,32.56,32.56,0.32,8.83,0.23,0,0,1009.14,15.95,179
2017-06-13,15,partly-cloudy-day,Partly Cloudy,33.98,33.98,0.31,8.36,0.21,0,0,1008.1,15.88,191
2017-06-13,16,partly-cloudy-day,Partly Cloudy,34.87,34.87,0.31,8.03,0.19,0,0,1007.1,15.88,183
2017-06-13,17,partly-cloudy-day,Partly Cloudy,35.63,35.63,0.32,7.72,0.18,0,0,1006.68,14.89,205
2017-06-13,18,partly-cloudy-day,Partly Cloudy,35.45,35.45,0.31,7.16,0.18,0,0,1006.08,15.03,211
2017-06-13,19,partly-cloudy-day,Partly Cloudy,35.33,35.33,0.31,7.28,0.18,0,0,1005.92,13.82,215
2017-06-13,20,partly-cloudy-day,Partly Cloudy,34.53,34.53,0.33,6.83,0.18,0,0,1006.15,15.68,198
2017-06-13,21,partly-cloudy-day,Partly Cloudy,32.9,32.9,0.31,7.76,0.21,0,0,1006.29,16.09,200
2017-06-13,22,clear-night,Clear,30.22,30.22,0,7.53,0.24,0,0,1006.82,14.6,202
2017-06-13,23,clear-night,Clear,28.92,28.92,0.02,7.94,0.27,0,0,1008.05,14.73,180
2017-10-03,0,clear-night,Clear,19.17,19.17,,11.79,0.62,0,0,1021.59,16.09,11
2017-10-03,1,clear-night,Clear,18.19,18.19,,11.89,0.67,0,0,1021.7,16.09,36
2017-10-03,2,clear-night,Clear,17,17,0,11.68,0.71,0,0,1021.83,16.09,13
2017-10-03,3,clear-night,Clear,16.48,16.48,,11.69,0.73,0,0,1021.97,16.09,16
2017-10-03,4,clear-night,Clear,16.05,16.05,,11.57,0.75,0,0,1021.96,16.09,9
2017-10-03,5,clear-night,Clear,14.86,14.86,0,11.46,0.8,0,0,1022.06,16.09,23
2017-10-03,6,clear-night,Clear,14.69,14.69,,11.19,0.8,0,0,1022.07,16.01,20
2017-10-03,7,clear-night,Clear,15.69,15.69,,11.66,0.77,0,0,1022.18,15.51,31
2017-10-03,8,clear-night,Clear,14.89,14.89,0,11.51,0.8,0,0,1021.93,15.98,29
